Pool,Project,Chain,TVL,APY,APY Base,APY Reward,Change 1d,Change 7d,Outlook,Confidence,Category,IL 7d,APY Base 7d,APY Net 7d,APY Mean 30d,Volume 1d,Volume 7d,APY Base Inception,APY Including LSD APY,APY Base Including LSD APY,APY Base Borrow,APY Reward Borrow,APY Borrow,Total Supply USD,Total Borrow USD,Total Available USD,Pool Meta
STETH,Lido,Ethereum,15080604724,3.293,3.293,,0.171,0.532,Stable/Up,2,Liquid Staking,,,,3.05501,,,,3.293,3.293,,,,,,,
WBETH,Binance staked ETH,Ethereum,3111420302,3.23025,3.23025,,-1.30342,0.27119,Stable/Up,1,Liquid Staking,,,,2.9263,,,,3.23025,3.23025,,,,,,,
RETH,Rocket Pool,Ethereum,2130576304,2.8537,2.8537,,0.03072,0.39461,Stable/Up,1,Liquid Staking,,,,2.93927,,,,2.8537,2.8537,,,,,,,
USDT,AAVE V3,Ethereum,1524339733,1.76983,1.76983,,-0.04714,-0.89299,Stable/Up,3,Lending,,,,2.65337,,,,1.76983,1.76983,-3.58118,,-3.58118,3380708552,1856368819,1524339733,
USDC,AAVE V3,Ethereum,875687108,2.66796,2.66796,,0.18362,-0.14915,Stable/Up,3,Lending,,,,2.80009,,,,2.66796,2.66796,-4.39694,,-4.39694,2687704325,1812017218,875687107,
METH,mETH Protocol,Ethereum,629875454,3.69841,3.69841,,0.29907,-0.0978,Stable/Up,1,Liquid Staking,,4.52918,4.52918,3.6488,,,,3.69841,3.69841,,,,,,,
USDS,SparkLend,Ethereum,456129779,7.27951,,7.27951,0.3424,2.07531,Stable/Up,2,Lending,,,,6.82584,,,,7.27951,0,,,,,,,SKY Farming Pool
WETH,AAVE V3,Ethereum,375925835,2.0488,2.0488,,-1.59439,0.05512,Stable/Up,3,Lending,,,,2.17101,,,,2.0488,2.0488,-2.68906,,-2.68906,3626871909,3250946073,375925836,
SUPEROETHB,Origin Ether,Base,349288373,4.87119,,,0.1745,0.70836,Stable/Up,2,Liquid Staking,,,,4.97131,,,,4.87119,0,,,,,,,
OSETH,StakeWise V2,Ethereum,268965687,3.08401,,,0.03367,0.13361,Stable/Up,3,Liquid Staking,,,,2.91377,,,,3.08401,0,,,,,,,
ETHX,Stader,Ethereum,230172946,3.15773,3.15773,,0.26209,0.00617,Stable/Up,2,Liquid Staking,,3.15773,3.15773,2.89319,,,,3.15773,3.15773,,,,,,,
USUALUSDC+,Morpho Blue,Ethereum,214686356,5.43704,5.09176,0.34528,0.24175,-0.52901,Stable/Up,3,Lending,,,,7.75793,,,,5.43704,5.09176,,,,,,,
USDC,Fluid Lending,Ethereum,209835520,4.15,1.74,2.41,-0.46,-1.02,Stable/Up,3,Lending,,,,5.62525,,,,4.15,1.74,,,,,,,
CBETH,Coinbase Wrapped Staked ETH,Ethereum,204541427,3.10893,3.10893,,-0.09615,-0.07227,Stable/Up,2,Liquid Staking,,,,3.21875,,,,3.10893,3.10893,,,,,,,
USDT,Fluid Lending,Ethereum,197978563,5.31,2.76,2.55,0.86,-0.36,Stable/Up,3,Lending,,,,5.78452,,,,5.31,2.76,,,,,,,
LSETH,Liquid Collective,Ethereum,186296509,6.64093,6.64093,,1.81272,4.22994,Down,3,Liquid Staking,,6.64093,6.64093,3.16004,,,,6.64093,6.64093,,,,,,,
SFRXETH,Frax Ether,Ethereum,131966281,3.51877,3.51877,,-0.05759,0.14616,Stable/Up,2,Liquid Staking,,,,3.13593,,,,3.51877,3.51877,,,,,,,
USDC,Compound V3,Ethereum,126927605,3.73919,3.54047,0.19873,0.02763,-0.02655,Stable/Up,1,Lending,,,,4.09056,,,,3.73919,3.54047,-4.62161,0.269,-4.35261,506304443,379376839,126927604,
BBQUSDC,Morpho Blue,Ethereum,124312896,5.70204,5.10271,0.59934,0.20901,-0.23648,Stable/Up,3,Lending,,,,6.22434,,,,5.70204,5.10271,,,,,,,
STEAKUSDC,Morpho Blue,Ethereum,118274145,4.50838,3.654,0.85438,0.37844,0.31963,Stable/Up,1,Lending,,,,5.1068,,,,4.50838,3.654,,,,,,,
APXETH,Dinero (pxETH),Ethereum,103779675,3.53,3.53,,0.01,-0.08,Stable/Up,2,Liquid Staking,,,,3.68654,,,,3.53,3.53,,,,,,,
WETH,SparkLend,Ethereum,92218651,2.05539,2.05539,,-1.90992,0.27648,Down,2,Lending,,,,2.06145,,,,2.05539,2.05539,-2.55034,,-2.55034,607566519,515347868,92218651,
STEAKRUSD,Morpho Blue,Ethereum,91707790,5.80754,4.95313,0.85441,0.0656,-0.11377,Down,1,Lending,,,,6.22904,,,,5.80754,4.95313,,,,,,,
USDC,AAVE V3,Arbitrum,90904542,2.15544,2.15544,,0.09645,-0.1807,Stable/Up,3,Lending,,,,2.62936,,,,2.15544,2.15544,-3.99578,,-3.99578,226900789,135996247,90904542,
USDT,Compound V3,Ethereum,84525509,3.32715,2.85639,0.47076,-0.72661,-0.66862,Stable/Up,3,Lending,,,,3.96929,,,,3.32715,2.85639,-4.01846,0.55623,-3.46223,213732765,129207256,84525509,
SWETH,Swell Liquid Staking,Ethereum,78884984,3.19171,3.19171,,0,0.24277,Stable/Up,2,Liquid Staking,,3.19171,3.19171,3.15844,,,,3.19171,3.19171,,,,,,,
GTUSDCCORE,Morpho Blue,Ethereum,72450031,5.36538,5.01219,0.35319,0.18597,-0.09197,Stable/Up,3,Lending,,,,5.85731,,,,5.36538,5.01219,,,,,,,
OETH,Origin Ether,Ethereum,71956513,2.80723,,,0.00463,0.778,Stable/Up,3,Liquid Staking,,,,3.02849,,,,2.80723,0,,,,,,,
CSUSDL,Morpho Blue,Ethereum,67898666,4.69302,0.20814,4.48488,-0.00083,-0.0731,Down,3,Lending,,,,4.75338,,,,4.69302,0.20814,,,,,,,
REUSDC,Morpho Blue,Ethereum,56463550,5.77967,4.92523,0.85445,0.34118,-0.14452,Stable/Up,3,Lending,,,,7.66089,,,,5.77967,4.92523,,,,,,,
SPARKUSDC,Morpho Blue,Base,52373320,6.40089,5.36335,1.03754,1.12514,0.59372,Down,1,Lending,,,,5.60118,,,,6.40089,5.36335,,,,,,,
SMUSDC,Morpho Blue,Base,51629117,6.73995,5.48476,1.25519,0.59412,-0.26354,Stable/Up,2,Lending,,,,7.59306,,,,6.73995,5.48476,,,,,,,
USDS,AAVE V3,Ethereum,51412755,2.3125,2.3125,,0.228,0.83429,Stable/Up,3,Lending,,,,1.96495,,,,2.3125,2.3125,-4.4857,,-4.4857,120350153,68937398,51412755,lido-market
USDC,AAVE V3,Base,47403681,2.66721,2.66721,,-0.01247,-0.27618,Stable/Up,3,Lending,,,,3.23439,,,,2.66721,2.66721,-4.4449,,-4.4449,142238273,94834591,47403682,
WETH,AAVE V3,Ethereum,42399408,2.49826,2.49826,,-0.04784,0.72138,Down,1,Lending,,,,1.8155,,,,2.49826,2.49826,-3.15629,,-3.15629,351747096,309347689,42399407,lido-market
EUSD0-4,Euler V2,Ethereum,42352047,3.87429,3.87429,,0.04362,-0.94387,Down,2,Lending,,,,4.12594,,,,3.87429,3.87429,,,,,,,
STEAKUSDT,Morpho Blue,Ethereum,42116855,3.444,2.58954,0.85446,-0.07368,-0.914,Stable/Up,1,Lending,,,,4.73907,,,,3.444,2.58954,,,,,,,
ETH,Fluid Lending,Ethereum,42038381,2.12,2.12,,-0.05,0.17,Stable/Up,1,Lending,,,,1.97398,,,,2.12,2.12,-3.99,0,-3.99,42038381,25181601,16856780,
HUSDC,Morpho Blue,Ethereum,36644030,5.18678,5.09683,0.08995,0.30863,-0.46616,Stable/Up,3,Lending,,,,7.42248,,,,5.18678,5.09683,,,,,,,
ETH,Fluid Lending,Ethereum,36526049,2.12,2.12,,-0.05,0.17,Stable/Up,2,Lending,,,,1.97398,,,,2.12,2.12,-5.02,0,-5.02,36526049,24341866,12184183,
USDT,Compound V2,Ethereum,35437210,2.21342,2.21342,,0.02976,-0.17331,Stable/Up,3,Lending,,,,2.40481,,,,2.21342,2.21342,-4.0936,0,-4.0936,98975604,63538394,35437210,
USD₮0,AAVE V3,Arbitrum,33902815,2.34974,2.34974,,0.01519,-0.50302,Stable/Up,3,Lending,,,,2.82081,,,,2.34974,2.34974,-4.17258,,-4.17258,90646456,56743641,33902815,
GTUSDC,Morpho Blue,Ethereum,31531217,4.50813,3.65374,0.85438,0.38792,0.32465,Stable/Up,1,Lending,,,,5.06976,,,,4.50813,3.65374,,,,,,,
GTWETH,Morpho Blue,Ethereum,30147754,3.02157,2.73098,0.29059,-0.1721,-0.43685,Stable/Up,1,Lending,,,,2.84744,,,,3.02157,2.73098,,,,,,,
STEAKETH,Morpho Blue,Ethereum,29871947,3.03651,2.74669,0.28982,-0.37091,-0.22764,Stable/Up,2,Lending,,,,2.83025,,,,3.03651,2.74669,,,,,,,
USDC,Fluid Lending,Arbitrum,27766821,5.49,1.11,4.38,-0.35,-0.68,Stable/Up,3,Lending,,,,6.06044,,,,5.49,1.11,,,,,,,
MWUSDC,Morpho Blue,Base,26115332,6.21069,5.36289,0.8478,1.0547,-0.23874,Stable/Up,2,Lending,,,,5.65523,,,,6.21069,5.36289,,,,,,,
WETH,AAVE V3,Arbitrum,25623423,1.96086,1.96086,,0.14661,0.21786,Down,1,Lending,,,,1.75258,,,,1.96086,1.96086,-2.63072,,-2.63072,208159637,182536213,25623424,
MCWETH,Morpho Blue,Ethereum,25132490,5.07256,5.07256,,-5.51012,0.07919,Down,3,Lending,,,,5.62548,,,,5.07256,5.07256,,,,,,,
SFRXUSD,Frax,Ethereum,24906353,5.61188,5.61188,,-0.88714,0.17213,Stable/Up,2,Algo-Stables,,,,6.05576,,,,5.61188,5.61188,,,,,,,
USDC,AAVE V2,Ethereum,23498703,1.06806,1.06806,,-0.00427,-0.90746,Stable/Up,3,Lending,,,,1.84414,,,,1.06806,1.06806,-7.03188,,-7.03188,47596681,24097978,23498703,
MWETH,Morpho Blue,Base,21589425,6.66841,6.36105,0.30735,2.4314,3.86626,Down,3,Lending,,,,3.24201,,,,6.66841,6.36105,,,,,,,
ANKRETH,Ankr,Ethereum,20666590,4.11332,,,-0.1408,0.35004,Down,1,Liquid Staking,,,,5.84849,,,,4.11332,0,,,,,,,
USD₮0,Fluid Lending,Arbitrum,20523172,6.73,0.8,5.93,-0.07,-0.49,Stable/Up,2,Lending,,,,7.55834,,,,6.73,0.8,,,,,,,
SFRXETH,Fraxlend,Ethereum,20278327,11.66143,11.66143,,-0.03881,-0.34534,Down,3,Lending,,,,9.94057,,,,15.1802,15.1802,-13.67767,,-13.67767,20278327,8613574,230731,
GTUSDCF,Morpho Blue,Ethereum,19504661,6.57683,5.24399,1.33284,0.36215,-0.44522,Stable/Up,2,Lending,,,,7.93002,,,,6.57683,5.24399,,,,,,,
RESOLVUSDC,Morpho Blue,Ethereum,18811539,4.87427,4.46629,0.40798,0.1814,-1.05201,Stable/Up,3,Lending,,,,5.80944,,,,4.87427,4.46629,,,,,,,
RE7WETH,Morpho Blue,Ethereum,18770798,3.8298,3.8298,,-3.66484,-0.12893,Stable/Up,2,Lending,,,,4.25643,,,,3.8298,3.8298,,,,,,,
SMWETH,Morpho Blue,Base,17720324,9.04515,7.17909,1.86606,2.87728,4.22522,Down,2,Lending,,,,5.49088,,,,9.04515,7.17909,,,,,,,
USDT,Compound V3,Arbitrum,16701822,2.97414,2.31598,0.65816,-0.31423,-0.55938,Stable/Up,3,Lending,,,,3.28589,,,,2.97414,2.31598,-3.54198,0.89518,-2.6468000000000003,32758607,16056784,16701823,
GTUSDCC,Morpho Blue,Base,16015388,6.03717,5.54088,0.49629,-0.23791,-0.51458,Down,1,Lending,,,,7.61087,,,,6.03717,5.54088,,,,,,,
USDC,Compound V2,Ethereum,15647568,1.4849,1.4849,,0.0313,-0.22121,Stable/Up,3,Lending,,,,2.33588,,,,1.4849,1.4849,-3.56674,0,-3.56674,35624487,19976918,15647569,
USDC,AAVE V3,Optimism,15460251,1.87435,1.87435,,0.08618,-0.66972,Stable/Up,2,Lending,,,,2.9799,,,,1.87435,1.87435,-3.72613,,-3.72613,35050693,19590442,15460251,
EUSDC-2,Euler V2,Ethereum,14878056,1.74572,1.74572,,-0.22068,0.09554,Stable/Up,3,Lending,,,,3.21367,,,,1.74572,1.74572,,,,,,,
USDC,Fluid Lending,Base,14397439,6.15,1.92,4.23,0.13,0.41,Stable/Up,2,Lending,,,,6.25114,,,,6.15,1.92,,,,,,,
CRVUSD-WBTC,Curve LlamaLend,Ethereum,14167734,1.06772,0.2262,0.84152,0.13833,0.1553,Stable/Up,3,Lending,,,,7.38563,,,,1.06772,0.2262,,,,,,,
CRVUSD-SDOLA,Curve LlamaLend,Ethereum,14100892,5.63393,3.6163,2.01763,0.30467,-1.2558,Stable/Up,3,Lending,,,,8.75344,,,,5.63393,3.6163,,,,,,,
MHYETH,Morpho Blue,Ethereum,13827384,5.05772,4.294,0.76371,-3.28519,0.30249,Stable/Up,1,Lending,,,,5.4585,,,,5.05772,4.294,,,,,,,
USDT,AAVE V2,Ethereum,13477506,1.94476,1.94476,,0.0135,-0.82179,Stable/Up,3,Lending,,,,2.7825,,,,1.94476,1.94476,-10.06427,,-10.06427,37870234,24392728,13477506,
WETH,AAVE V3,Base,13421518,2.04748,2.04748,,-0.01061,0.05592,Down,1,Lending,,,,1.70242,,,,2.04748,2.04748,-2.68819,,-2.68819,129131689,115710170,13421519,
CRVUSD-SUSDE,Curve LlamaLend,Ethereum,13312573,3.36531,1.791,1.57431,-0.15042,-0.05742,Stable/Up,3,Lending,,,,6.88282,,,,3.36531,1.791,,,,,,,
USDC,Moonwell,Base,13269790,4.77406,2.92974,1.84432,,-0.65663,Stable/Up,3,Lending,,,,5.54719,,,,4.77406,2.92974,-4.34946,0,-4.34946,53852257,40582467,13269790,
CRVUSD-SFRXUSD,Curve LlamaLend,Ethereum,12839212,6.13058,5.5268,0.60378,1.44028,4.73568,Down,1,Lending,,,,45.4031,,,,6.13058,5.5268,,,,,,,
STEAKPYUSD,Morpho Blue,Ethereum,12762476,3.39005,2.66905,0.721,0.02443,-3.65722,Stable/Up,3,Lending,,,,4.85965,,,,3.39005,2.66905,,,,,,,
GTUSDT,Morpho Blue,Ethereum,12429790,3.75961,2.90517,0.85444,-0.11351,-0.4987,Stable/Up,2,Lending,,,,4.58285,,,,3.75961,2.90517,,,,,,,
USDC,Compound V3,Arbitrum,12029864,3.94888,3.1547,0.79418,-0.04091,-0.84488,Stable/Up,3,Lending,,,,4.06704,,,,3.94888,3.1547,-4.28148,0.59474,-3.6867400000000004,36197713,24167849,12029864,
CRVUSD,Resupply,Ethereum,10847931,3.5526,3.5526,,,,,,Lending,,,,3.34398,,,,3.5526,3.5526,-2.2487,40.3941,38.1454,10847931,9701175,1146756,Curvelend - sDOLA collateral
CRVUSD,Resupply,Ethereum,10004439,5.3799,5.3799,,,,,,Lending,,,,5.00727,,,,5.3799,5.3799,-2.6812,35.4036,32.7224,10004439,8903122,1101317,Curvelend - sfrxUSD collateral