Pool,Project,Chain,TVL,APY,APY Base,APY Reward,Change 1d,Change 7d,Outlook,Confidence,Category,IL 7d,APY Base 7d,APY Net 7d,APY Mean 30d,Volume 1d,Volume 7d,APY Base Inception,APY Including LSD APY,APY Base Including LSD APY,APY Base Borrow,APY Reward Borrow,APY Borrow,Total Supply USD,Total Borrow USD,Total Available USD,Pool Meta,Volatility_1d,Volatility_7d,Log_TVL,APY_Risk,Cluster,APY_Rank,TVL_Rank,Risk_Score,Vol_Rank,Risk_Category
HUSDC,Morpho Blue,Ethereum,36644030,5.18678,5.09683,0.08995,0.30863,-0.46616,Stable/Up,3.0,Lending,,3.8604450000000003,3.8604450000000003,7.42248,,,,5.18678,5.09683,,,,,,,,0.30863,0.46616,17.41676110809439,0.2978039354050426,1,0.7051282051282052,0.4871794871794872,61.48717948717949,0.6025641025641025,Medium Risk
ETH,Fluid Lending,Ethereum,36526049,2.12,2.12,0.85438,-0.05,0.17,Stable/Up,2.0,Lending,,3.8604450000000003,3.8604450000000003,1.97398,,,,2.12,2.12,-5.02,0.0,-5.02,36526049.0,24341866.0,12184183.0,,0.05,0.17,17.413536262621104,0.12174436989864432,2,0.16025641025641027,0.5,29.46153846153846,0.28846153846153844,Low Risk
USDT,Compound V2,Ethereum,35437210,2.21342,2.21342,0.85438,0.02976,-0.17331,Stable/Up,3.0,Lending,,3.8604450000000003,3.8604450000000003,2.40481,,,,2.21342,2.21342,-4.0936,0.0,-4.0936,98975604.0,63538394.0,35437210.0,,0.02976,0.17331,17.38327298421617,0.12733045163645318,2,0.19230769230769232,0.5128205128205128,32.05128205128205,0.32051282051282054,Low Risk
USD₮0,AAVE V3,Arbitrum,33902815,2.34974,2.34974,0.85438,0.01519,-0.50302,Stable/Up,3.0,Lending,,3.8604450000000003,3.8604450000000003,2.82081,,,,2.34974,2.34974,-4.17258,,-4.17258,90646456.0,56743641.0,33902815.0,,0.01519,0.50302,17.339008636747344,0.1355175517370751,2,0.21794871794871795,0.5256410256410257,40.1025641025641,0.6410256410256411,Medium Risk
GTUSDC,Morpho Blue,Ethereum,31531217,4.50813,3.65374,0.85438,0.38792,0.32465,Stable/Up,1.0,Lending,,3.8604450000000003,3.8604450000000003,5.06976,,,,4.50813,3.65374,,,,,,,,0.38792,0.32465,17.266488660651437,0.2610913016885459,1,0.6025641025641025,0.5384615384615384,56.15384615384615,0.5,Medium Risk
GTWETH,Morpho Blue,Ethereum,30147754,3.02157,2.73098,0.29059,-0.1721,-0.43685,Stable/Up,1.0,Lending,,3.8604450000000003,3.8604450000000003,2.84744,,,,3.02157,2.73098,,,,,,,,0.1721,0.43685,17.221621017336915,0.17545212480045877,2,0.3076923076923077,0.5512820512820513,43.94871794871794,0.5769230769230769,Medium Risk
STEAKETH,Morpho Blue,Ethereum,29871947,3.03651,2.74669,0.28982,-0.37091,-0.22764,Stable/Up,2.0,Lending,,3.8604450000000003,3.8604450000000003,2.83025,,,,3.03651,2.74669,,,,,,,,0.37091,0.22764,17.212430404001548,0.17641378519642825,2,0.32051282051282054,0.5641025641025641,40.871794871794876,0.3717948717948718,Medium Risk
USDC,Fluid Lending,Arbitrum,27766821,5.49,1.11,4.38,-0.35,-0.68,Stable/Up,3.0,Lending,,3.8604450000000003,3.8604450000000003,6.06044,,,,5.49,1.11,,,,,,,,0.35,0.68,17.139352412691007,0.3203154861285701,1,0.7692307692307693,0.5769230769230769,70.51282051282051,0.7564102564102564,High Risk
MWUSDC,Morpho Blue,Base,26115332,6.21069,5.36289,0.8478,1.0547,-0.23874,Stable/Up,2.0,Lending,,3.8604450000000003,3.8604450000000003,5.65523,,,,6.21069,5.36289,,,,,,,,1.0547,0.23874,17.0780331710636,0.3636654137973668,1,0.8846153846153846,0.5897435897435898,69.28205128205128,0.3974358974358974,High Risk
WETH,AAVE V3,Arbitrum,25623423,1.96086,1.96086,0.85438,0.14661,0.21786,Down,1.0,Lending,,3.8604450000000003,3.8604450000000003,1.75258,,,,1.96086,1.96086,-2.63072,,-2.63072,208159637.0,182536213.0,25623424.0,,0.14661,0.21786,17.05901749109247,0.11494565856585129,2,0.10256410256410256,0.6025641025641026,31.12820512820513,0.34615384615384615,Low Risk
MCWETH,Morpho Blue,Ethereum,25132490,5.07256,5.07256,0.85438,-5.51012,0.07919,Down,3.0,Lending,,3.8604450000000003,3.8604450000000003,5.62548,,,,5.07256,5.07256,,,,,,,,5.51012,0.07919,17.03967202915959,0.29769117570569714,0,0.6923076923076923,0.6153846153846154,54.97435897435897,0.10256410256410256,Medium Risk
SFRXUSD,Frax,Ethereum,24906353,5.61188,5.61188,0.85438,-0.88714,0.17213,Stable/Up,2.0,Algo-Stables,,3.8604450000000003,3.8604450000000003,6.05576,,,,5.61188,5.61188,,,,,,,,0.88714,0.17213,17.030633509604765,0.3295168084519621,1,0.782051282051282,0.6282051282051282,63.79487179487179,0.3076923076923077,Medium Risk
USDC,AAVE V2,Ethereum,23498703,1.06806,1.06806,0.85438,-0.00427,-0.90746,Stable/Up,3.0,Lending,,3.8604450000000003,3.8604450000000003,1.84414,,,,1.06806,1.06806,-7.03188,,-7.03188,47596681.0,24097978.0,23498703.0,,0.00427,0.90746,16.97245582865746,0.06292901927584423,2,0.02564102564102564,0.641025641025641,38.92307692307692,0.8589743589743589,Medium Risk
MWETH,Morpho Blue,Base,21589425,6.66841,6.36105,0.30735,2.4314,3.86626,Down,3.0,Lending,,3.8604450000000003,3.8604450000000003,3.24201,,,,6.66841,6.36105,,,,,,,,2.4314,3.86626,16.887714215754983,0.3948675300165175,0,0.9358974358974359,0.6538461538461539,85.07692307692308,0.9615384615384616,High Risk
ANKRETH,Ankr,Ethereum,20666590,4.11332,3.10893,0.85438,-0.1408,0.35004,Down,1.0,Liquid Staking,,3.8604450000000003,3.8604450000000003,5.84849,,,,4.11332,0.0,,,,,,,,0.1408,0.35004,16.84402899304423,0.24420048206391726,2,0.5769230769230769,0.6666666666666667,59.53846153846154,0.5256410256410257,Medium Risk
USD₮0,Fluid Lending,Arbitrum,20523172,6.73,0.8,5.93,-0.07,-0.49,Stable/Up,2.0,Lending,,3.8604450000000003,3.8604450000000003,7.55834,,,,6.73,0.8,,,,,,,,0.07,0.49,16.837065195942543,0.3997133658199423,1,0.9487179487179487,0.6794871794871795,79.58974358974359,0.6153846153846154,High Risk
SFRXETH,Fraxlend,Ethereum,20278327,11.66143,11.66143,0.85438,-0.03881,-0.34534,Down,3.0,Lending,,3.8604450000000003,3.8604450000000003,9.94057,,,,15.1802,15.1802,-13.67767,,-13.67767,20278327.0,8613574.0,230731.0,,0.03881,0.34534,16.825063287529048,0.6930987301928071,1,1.0,0.6923076923076923,80.41025641025641,0.5128205128205128,High Risk
GTUSDCF,Morpho Blue,Ethereum,19504661,6.57683,5.24399,1.33284,0.36215,-0.44522,Stable/Up,2.0,Lending,,3.8604450000000003,3.8604450000000003,7.93002,,,,6.57683,5.24399,,,,,,,,0.36215,0.44522,16.78616407188272,0.39180065033537764,1,0.9102564102564102,0.7051282051282051,78.05128205128206,0.5897435897435898,High Risk
RESOLVUSDC,Morpho Blue,Ethereum,18811539,4.87427,4.46629,0.40798,0.1814,-1.05201,Stable/Up,3.0,Lending,,3.8604450000000003,3.8604450000000003,5.80944,,,,4.87427,4.46629,,,,,,,,0.1814,1.05201,16.749981069270966,0.2910015229176704,1,0.6666666666666666,0.717948717948718,73.17948717948718,0.9102564102564102,High Risk
RE7WETH,Morpho Blue,Ethereum,18770798,3.8298,3.8298,0.85438,-3.66484,-0.12893,Stable/Up,2.0,Lending,,3.8604450000000003,3.8604450000000003,4.25643,,,,3.8298,3.8298,,,,,,,,3.66484,0.12893,16.747812975584246,0.2286746338511938,0,0.5384615384615384,0.7307692307692308,53.333333333333336,0.20512820512820512,Medium Risk
SMWETH,Morpho Blue,Base,17720324,9.04515,7.17909,1.86606,2.87728,4.22522,Down,2.0,Lending,,3.8604450000000003,3.8604450000000003,5.49088,,,,9.04515,7.17909,,,,,,,,2.87728,4.22522,16.690222843830806,0.5419430336332118,0,0.9871794871794872,0.7435897435897436,90.66666666666666,0.9743589743589743,High Risk
USDT,Compound V3,Arbitrum,16701822,2.97414,2.31598,0.65816,-0.31423,-0.55938,Stable/Up,3.0,Lending,,3.8604450000000003,3.8604450000000003,3.28589,,,,2.97414,2.31598,-3.54198,0.89518,-2.6468000000000003,32758607.0,16056784.0,16701823.0,,0.31423,0.55938,16.63102843310593,0.17883079281372885,2,0.2948717948717949,0.7564102564102564,52.20512820512821,0.6923076923076923,Medium Risk
GTUSDCC,Morpho Blue,Base,16015388,6.03717,5.54088,0.49629,-0.23791,-0.51458,Down,1.0,Lending,,3.8604450000000003,3.8604450000000003,7.61087,,,,6.03717,5.54088,,,,,,,,0.23791,0.51458,16.589060630458786,0.36392476551175496,1,0.8461538461538461,0.7692307692307692,78.3076923076923,0.6538461538461539,High Risk
USDC,Compound V2,Ethereum,15647568,1.4849,1.4849,0.85438,0.0313,-0.22121,Stable/Up,3.0,Lending,,3.8604450000000003,3.8604450000000003,2.33588,,,,1.4849,1.4849,-3.56674,0.0,-3.56674,35624487.0,19976918.0,15647569.0,,0.0313,0.22121,16.565826127421374,0.08963633860324349,2,0.038461538461538464,0.782051282051282,34.05128205128206,0.358974358974359,Medium Risk
USDC,AAVE V3,Optimism,15460251,1.87435,1.87435,0.85438,0.08618,-0.66972,Stable/Up,2.0,Lending,,3.8604450000000003,3.8604450000000003,2.9799,,,,1.87435,1.87435,-3.72613,,-3.72613,35050693.0,19590442.0,15460251.0,,0.08618,0.66972,16.55378290112007,0.11322789547235013,2,0.07692307692307693,0.7948717948717949,44.00000000000001,0.7435897435897436,Medium Risk
EUSDC-2,Euler V2,Ethereum,14878056,1.74572,1.74572,0.85438,-0.22068,0.09554,Stable/Up,3.0,Lending,,3.8604450000000003,3.8604450000000003,3.21367,,,,1.74572,1.74572,,,,,,,,0.22068,0.09554,16.515398000886186,0.10570256919671737,2,0.05128205128205128,0.8076923076923077,31.641025641025642,0.16666666666666666,Low Risk
USDC,Fluid Lending,Base,14397439,6.15,1.92,4.23,0.13,0.41,Stable/Up,2.0,Lending,,3.8604450000000003,3.8604450000000003,6.25114,,,,6.15,1.92,,,,,,,,0.13,0.41,16.48256097096411,0.37312162902560586,1,0.8717948717948718,0.8205128205128205,79.3846153846154,0.5641025641025641,High Risk
CRVUSD-WBTC,Curve LlamaLend,Ethereum,14167734,1.06772,0.2262,0.84152,0.13833,0.1553,Stable/Up,3.0,Lending,,3.8604450000000003,3.8604450000000003,7.38563,,,,1.06772,0.2262,,,,,,,,0.13833,0.1553,16.466477754147917,0.06484203944167967,2,0.01282051282051282,0.8333333333333334,32.66666666666667,0.2692307692307692,Low Risk
CRVUSD-SDOLA,Curve LlamaLend,Ethereum,14100892,5.63393,3.6163,2.01763,0.30467,-1.2558,Stable/Up,3.0,Lending,,3.8604450000000003,3.8604450000000003,8.75344,,,,5.63393,3.6163,,,,,,,,0.30467,1.2558,16.46174868667626,0.3422437134251701,1,0.7948717948717948,0.8461538461538461,83.6923076923077,0.9230769230769231,High Risk
MHYETH,Morpho Blue,Ethereum,13827384,5.05772,4.294,0.76371,-3.28519,0.30249,Stable/Up,1.0,Lending,,3.8604450000000003,3.8604450000000003,5.4585,,,,5.05772,4.294,,,,,,,,3.28519,0.30249,16.442161604056306,0.30760675644692925,0,0.6794871794871795,0.858974358974359,69.58974358974359,0.47435897435897434,High Risk
USDT,AAVE V2,Ethereum,13477506,1.94476,1.94476,0.85438,0.0135,-0.82179,Stable/Up,3.0,Lending,,3.8604450000000003,3.8604450000000003,2.7825,,,,1.94476,1.94476,-10.06427,,-10.06427,37870234.0,24392728.0,13477506.0,,0.0135,0.82179,16.416532705691985,0.11846350474029803,2,0.08974358974358974,0.8717948717948718,48.35897435897436,0.8076923076923077,Medium Risk
WETH,AAVE V3,Base,13421518,2.04748,2.04748,0.85438,-0.01061,0.05592,Down,1.0,Lending,,3.8604450000000003,3.8604450000000003,1.70242,,,,2.04748,2.04748,-2.68819,,-2.68819,129131689.0,115710170.0,13421519.0,,0.01061,0.05592,16.412369872372135,0.124752245770834,2,0.11538461538461539,0.8846153846153846,34.871794871794876,0.05128205128205128,Medium Risk
CRVUSD-SUSDE,Curve LlamaLend,Ethereum,13312573,3.36531,1.791,1.57431,-0.15042,-0.05742,Stable/Up,3.0,Lending,,3.8604450000000003,3.8604450000000003,6.88282,,,,3.36531,1.791,,,,,,,,0.15042,0.05742,16.404219560103915,0.20514904641880335,2,0.4230769230769231,0.8974358974358975,50.307692307692314,0.0641025641025641,Medium Risk
USDC,Moonwell,Base,13269790,4.77406,2.92974,1.84432,0.02443,-0.65663,Stable/Up,3.0,Lending,,3.8604450000000003,3.8604450000000003,5.54719,,,,4.77406,2.92974,-4.34946,0.0,-4.34946,53852257.0,40582467.0,13269790.0,,0.02443,0.65663,16.401000656372755,0.2910834588708462,1,0.6410256410256411,0.9102564102564102,74.25641025641026,0.717948717948718,High Risk
CRVUSD-SFRXUSD,Curve LlamaLend,Ethereum,12839212,6.13058,5.5268,0.60378,1.44028,4.73568,Down,1.0,Lending,,3.8604450000000003,3.8604450000000003,45.4031,,,,6.13058,5.5268,,,,,,,,1.44028,4.73568,16.368014561512716,0.37454634323305597,0,0.8589743589743589,0.9230769230769231,90.76923076923076,1.0,High Risk
STEAKPYUSD,Morpho Blue,Ethereum,12762476,3.39005,2.66905,0.721,0.02443,-3.65722,Stable/Up,3.0,Lending,,3.8604450000000003,3.8604450000000003,4.85965,,,,3.39005,2.66905,,,,,,,,0.02443,3.65722,16.362019939298683,0.20719018877722417,1,0.4358974358974359,0.9358974358974359,69.84615384615384,0.9487179487179487,High Risk
GTUSDT,Morpho Blue,Ethereum,12429790,3.75961,2.90517,0.85444,-0.11351,-0.4987,Stable/Up,2.0,Lending,,3.8604450000000003,3.8604450000000003,4.58285,,,,3.75961,2.90517,,,,,,,,0.11351,0.4987,16.335606649186243,0.23014817145999808,1,0.5256410256410257,0.9487179487179487,68.15384615384616,0.6282051282051282,High Risk
USDC,Compound V3,Arbitrum,12029864,3.94888,3.1547,0.79418,-0.04091,-0.84488,Stable/Up,3.0,Lending,,3.8604450000000003,3.8604450000000003,4.06704,,,,3.94888,3.1547,-4.28148,0.59474,-3.68674,36197713.0,24167849.0,12029864.0,,0.04091,0.84488,16.30290286594276,0.24221943984278566,1,0.5641025641025641,0.9615384615384616,74.51282051282051,0.8333333333333334,High Risk
CRVUSD,Resupply,Ethereum,10847931,3.5526,3.5526,0.85438,0.02443,-0.094885,Unknown,2.0,Lending,,3.8604450000000003,3.8604450000000003,3.34398,,,,3.5526,3.5526,-2.2487,40.3941,38.1454,10847931.0,9701175.0,1146756.0,Curvelend - sDOLA collateral,0.02443,0.094885,16.19948502070609,0.2193032676939475,2,0.48717948717948717,0.9743589743589743,57.51282051282052,0.14743589743589744,Medium Risk
CRVUSD,Resupply,Ethereum,10004439,5.3799,5.3799,0.85438,0.02443,-0.094885,Unknown,2.0,Lending,,3.8604450000000003,3.8604450000000003,5.00727,,,,5.3799,5.3799,-2.6812,35.4036,32.7224,10004439.0,8903122.0,1101317.0,Curvelend - sfrxUSD collateral,0.02443,0.094885,16.118539552419485,0.33377093393008095,1,0.7435897435897436,0.9871794871794872,70.23076923076925,0.14743589743589744,High Risk
